zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
62883,4,50,0,40,0,40,140,50,4403,4526,3421,0,0,0,0,0,3228,0,0
62883,5,40,0,40,0,30,110,40,5631,5631,3612,0,0,0,0,0,4633,0,0
62883,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62884,1,480,320,80,80,220,650,170,5905,5959,4174,0,0,0,0,0,845,20,85
62884,2,330,160,110,50,160,610,180,11960,12035,8761,0,0,40,0,0,6288,0,0
62884,3,190,50,120,30,120,450,140,11580,11687,8734,20,700,0,0,166,7625,0,0
62884,4,120,30,100,0,80,310,80,10705,10751,7927,0,0,30,0,0,7842,0,0
62884,5,140,0,130,0,100,390,130,21530,21612,12970,0,0,0,0,0,17706,0,0
62884,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62885,1,140,80,40,30,90,200,60,1622,1622,1135,0,0,0,0,0,187,0,0
62885,2,90,30,40,0,70,200,70,3035,3145,1919,30,1162,0,0,0,1319,20,38
62885,3,50,30,30,0,40,120,50,3271,3271,2032,0,0,0,0,0,2037,0,0
62885,4,30,0,20,0,20,70,0,2626,2687,1565,0,0,0,0,0,1872,0,0
62885,5,40,0,40,0,30,110,30,5063,5063,3530,0,0,0,0,0,4069,0,0
62885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62886,1,60,30,0,0,50,80,0,683,727,422,0,0,0,0,0,81,0,0
62886,2,50,30,30,0,40,100,40,1780,1780,1406,0,0,0,0,0,846,0,0
62886,3,20,0,30,0,20,40,20,1440,1440,1058,0,0,0,0,0,937,0,0
62886,4,20,0,0,0,20,60,0,2448,2448,1422,0,0,0,0,0,1810,0,0
62886,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62886,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62887,1,50,30,0,0,30,70,30,578,578,537,0,0,0,0,0,0,0,0
62887,2,30,30,30,0,20,60,30,1044,1044,831,0,0,0,0,0,621,0,0
62887,3,20,0,0,0,20,60,0,1510,1664,1319,0,0,0,0,0,986,0,0
62887,4,30,0,30,0,30,80,20,4238,4238,1756,0,0,0,0,0,3247,0,0
62887,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62887,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62888,1,260,170,50,40,170,370,100,3448,3464,2476,0,0,0,0,0,542,0,0
62888,2,220,110,70,30,130,370,90,8026,8057,6319,0,0,20,0,0,4307,0,0
62888,3,170,50,90,20,110,370,110,10193,10318,7531,0,0,0,0,0,6818,0,0
62888,4,110,30,90,0,80,270,60,9927,9995,7175,0,0,30,0,0,7351,0,0
62888,5,110,0,100,0,80,300,90,14853,14982,9802,0,0,0,0,0,12112,0,0
62888,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62889,1,140,100,30,30,70,170,40,1661,1661,1307,0,0,0,0,0,248,30,1
62889,2,80,30,30,0,30,150,40,2781,2846,2077,0,0,0,0,0,1355,0,0
62889,3,80,30,60,0,70,180,40,5292,5292,3762,0,0,0,0,0,3475,0,0
62889,4,50,0,40,0,30,140,40,4375,4482,3412,0,0,0,0,0,3194,0,0
62889,5,50,0,40,0,40,130,40,6439,6439,3725,0,0,0,0,0,5202,0,0
62889,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62890,1,400,240,90,60,240,580,160,5040,5108,3722,0,0,0,0,0,684,0,0
62890,2,270,100,110,40,150,540,160,9721,9825,7602,0,0,0,0,0,4719,20,58
62890,3,170,50,110,30,110,410,130,10694,10817,8121,30,-230,40,0,0,7053,0,0
62890,4,110,30,90,0,80,300,100,9393,9393,7760,0,0,0,0,0,6896,0,0
62890,5,150,0,130,0,110,420,130,22829,23155,14775,0,0,0,201,251,18500,0,0
62890,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62892,1,40,30,0,0,30,60,0,524,524,408,0,0,0,0,0,0,0,0
62892,2,40,30,30,0,40,70,40,1282,1302,972,0,0,0,0,0,711,0,0
62892,3,20,0,0,0,0,50,0,1501,1501,1083,0,0,0,0,0,998,0,0
62892,4,30,0,30,0,30,80,30,3347,3347,2530,0,0,0,0,0,2633,0,0
62892,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62892,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62893,1,150,100,30,20,80,220,70,1754,1781,1432,0,0,20,0,0,264,0,0
62893,2,110,50,40,20,60,210,60,4090,4090,3143,0,0,0,0,0,2129,0,0
62893,3,80,50,40,0,50,150,30,4805,4835,3716,0,0,0,0,0,3249,0,0
62893,4,60,0,50,0,40,140,30,4923,4923,2986,0,0,0,0,0,3574,0,0
62893,5,70,0,60,0,50,160,30,10362,10430,6310,0,0,0,0,0,8101,0,0
62893,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62894,1,160,100,30,30,80,210,60,1697,1748,1243,0,0,0,0,0,218,0,0
